tau,deg,rep,n_test,LAP,W,eta,seconds
2,4,45,2000,0.009921832521504872,0.1307097495857989,0.07590736385729287,19.21
2,4,47,2000,0.009602012044374858,0.1303639441085353,0.07365542758034878,19.27
2,4,46,2000,0.009798670898865922,0.13035362068187858,0.07516991739553658,19.45
2,4,48,2000,0.009703367274543573,0.13012659293378584,0.07456867236569449,19.57
2,4,49,2000,0.009799723051400672,0.13134986057959908,0.07460779180242799,19.51
2,8,0,2000,0.007473216350774525,0.14109902921074377,0.052964335705050256,19.73
2,8,1,2000,0.007169466953944881,0.14348874714998353,0.04996536032509156,20.03
2,8,2,2000,0.007170339167356571,0.14071396948318368,0.05095683956391748,19.79
2,8,3,2000,0.0074284769974117815,0.14265000179259896,0.052074846856379,19.92
2,8,4,2000,0.007576642162642311,0.1425142401583911,0.05316410594633624,19.8
2,8,5,2000,0.007235797054887638,0.14021910692507633,0.05160350264357312,19.73
2,8,6,2000,0.007543422485582346,0.14118527948526594,0.05342924214963626,19.71
2,8,9,2000,0.007125691138974682,0.14207402270820307,0.05015477849606393,19.23
2,8,10,2000,0.006851701207079952,0.1413462889010334,0.048474574467797425,19.38
2,8,7,2000,0.007434623069099977,0.14129437590099758,0.05261796884477046,19.39
2,8,8,2000,0.007315671165891269,0.1412266299464102,0.05180093278914374,19.53
2,8,12,2000,0.007907426640562903,0.14407976426894806,0.054882284689211594,19.44
2,8,11,2000,0.007474913785962406,0.14217064577157196,0.05257705446434055,19.71
2,8,14,2000,0.007560525025432613,0.14212672351239095,0.053195661157793936,19.48
2,8,13,2000,0.007452418734259114,0.14358253714115082,0.05190337824252896,19.67
2,8,15,2000,0.007007139914665089,0.14491700794421092,0.04835277800769007,19.49
2,8,16,2000,0.007466574931945358,0.14223984051086716,0.052492852249612226,19.42
2,8,18,2000,0.007448146786448395,0.1449963190221068,0.051367833588332794,19.47
2,8,17,2000,0.007298897281450417,0.14202293822152062,0.0513923833209671,20.38
